TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2013-01-01,
2013-01-02,0.9859
2013-01-03,0.9853
2013-01-04,0.9856
2013-01-07,0.9860
2013-01-08,0.9873
2013-01-09,0.9868
2013-01-10,0.9860
2013-01-11,0.9841
2013-01-14,0.9840
2013-01-15,0.9839
2013-01-16,0.9850
2013-01-17,0.9853
2013-01-18,0.9937
2013-01-21,0.9933
2013-01-22,0.9934
2013-01-23,0.9986
2013-01-24,1.0026
2013-01-25,1.0078
2013-01-28,1.0069
2013-01-29,1.0029
2013-01-30,1.0033
2013-01-31,0.9992
2013-02-01,0.9987
2013-02-04,0.9977
2013-02-05,0.9972
2013-02-06,0.9960
2013-02-07,0.9993
2013-02-08,1.0020
2013-02-11,1.0065
2013-02-12,1.0029
2013-02-13,1.0020
2013-02-14,1.0008
2013-02-15,1.0070
2013-02-18,
2013-02-19,1.0118
2013-02-20,1.0163
2013-02-21,1.0185
2013-02-22,1.0224
2013-02-25,1.0265
2013-02-26,1.0280
2013-02-27,1.0250
2013-02-28,1.0285
2013-03-01,1.0285
2013-03-04,1.0298
2013-03-05,1.0290
2013-03-06,1.0314
2013-03-07,1.0302
2013-03-08,1.0273
2013-03-11,1.0268
2013-03-12,1.0254
2013-03-13,1.0273
2013-03-14,1.0261
2013-03-15,1.0193
2013-03-18,1.0217
2013-03-19,1.0274
2013-03-20,1.0268
2013-03-21,1.0241
2013-03-22,1.0225
2013-03-25,1.0218
2013-03-26,1.0166
2013-03-27,1.0170
2013-03-28,1.0156
2013-03-29,
2013-04-01,1.0167
2013-04-02,1.0148
2013-04-03,1.0134
2013-04-04,1.0139
2013-04-05,1.0191
2013-04-08,1.0198
2013-04-09,1.0162
2013-04-10,1.0150
2013-04-11,1.0107
2013-04-12,1.0134
2013-04-15,1.0206
2013-04-16,1.0230
2013-04-17,1.0262
2013-04-18,1.0255
2013-04-19,1.0264
2013-04-22,1.0263
2013-04-23,1.0259
2013-04-24,1.0270
2013-04-25,1.0194
2013-04-26,1.0170
2013-04-29,1.0138
2013-04-30,1.0072
2013-05-01,1.0084
2013-05-02,1.0083
2013-05-03,1.0079
2013-05-06,1.0075
2013-05-07,1.0052
2013-05-08,1.0023
2013-05-09,1.0027
2013-05-10,1.0124
2013-05-13,1.0108
2013-05-14,1.0148
2013-05-15,1.0173
2013-05-16,1.0163
2013-05-17,1.0269
2013-05-20,
2013-05-21,1.0277
2013-05-22,1.0333
2013-05-23,1.0310
2013-05-24,1.0323
2013-05-27,1.0329
2013-05-28,1.0371
2013-05-29,1.0370
2013-05-30,1.0309
2013-05-31,1.0339
2013-06-03,1.0291
2013-06-04,1.0348
2013-06-05,1.0345
2013-06-06,1.0238
2013-06-07,1.0210
2013-06-10,1.0187
2013-06-11,1.0190
2013-06-12,1.0202
2013-06-13,1.0170
2013-06-14,1.0177
2013-06-17,1.0176
2013-06-18,1.0209
2013-06-19,1.0187
2013-06-20,1.0387
2013-06-21,1.0470
2013-06-24,1.0532
2013-06-25,1.0513
2013-06-26,1.0469
2013-06-27,1.0480
2013-06-28,1.0512
2013-07-01,
2013-07-02,1.0530
2013-07-03,1.0523
2013-07-04,1.0513
2013-07-05,1.0568
2013-07-08,1.0576
2013-07-09,1.0530
2013-07-10,1.0511
2013-07-11,1.0389
2013-07-12,1.0392
2013-07-15,1.0413
2013-07-16,1.0388
2013-07-17,1.0425
2013-07-18,1.0396
2013-07-19,1.0363
2013-07-22,1.0337
2013-07-23,1.0304
2013-07-24,1.0298
2013-07-25,1.0283
2013-07-26,1.0291
2013-07-29,1.0261
2013-07-30,1.0293
2013-07-31,1.0287
2013-08-01,1.0338
2013-08-02,1.0382
2013-08-05,
2013-08-06,1.0379
2013-08-07,1.0416
2013-08-08,1.0348
2013-08-09,1.0303
2013-08-12,1.0297
2013-08-13,1.0345
2013-08-14,1.0322
2013-08-15,1.0340
2013-08-16,1.0345
2013-08-19,1.0334
2013-08-20,1.0376
2013-08-21,1.0443
2013-08-22,1.0512
2013-08-23,1.0515
2013-08-26,1.0514
2013-08-27,1.0503
2013-08-28,1.0490
2013-08-29,1.0526
2013-08-30,1.0553
2013-09-02,
2013-09-03,1.0533
2013-09-04,1.0482
2013-09-05,1.0500
2013-09-06,1.0390
2013-09-09,1.0366
2013-09-10,1.0357
2013-09-11,1.0337
2013-09-12,1.0320
2013-09-13,1.0341
2013-09-16,1.0316
2013-09-17,1.0291
2013-09-18,1.0312
2013-09-19,1.0237
2013-09-20,1.0287
2013-09-23,1.0283
2013-09-24,1.0295
2013-09-25,1.0295
2013-09-26,1.0321
2013-09-27,1.0300
2013-09-30,1.0285
2013-10-01,1.0333
2013-10-02,1.0332
2013-10-03,1.0323
2013-10-04,1.0306
2013-10-07,1.0306
2013-10-08,1.0331
2013-10-09,1.0397
2013-10-10,1.0383
2013-10-11,1.0385
2013-10-14,
2013-10-15,1.0371
2013-10-16,1.0345
2013-10-17,1.0285
2013-10-18,1.0287
2013-10-21,1.0297
2013-10-22,1.0284
2013-10-23,1.0385
2013-10-24,1.0422
2013-10-25,1.0450
2013-10-28,1.0445
2013-10-29,1.0445
2013-10-30,1.0456
2013-10-31,1.0429
2013-11-01,1.0443
2013-11-04,1.0415
2013-11-05,1.0448
2013-11-06,1.0419
2013-11-07,1.0442
2013-11-08,1.0487
2013-11-11,
2013-11-12,1.0502
2013-11-13,1.0468
2013-11-14,1.0497
2013-11-15,1.0458
2013-11-18,1.0427
2013-11-19,1.0466
2013-11-20,1.0445
2013-11-21,1.0506
2013-11-22,1.0535
2013-11-25,1.0554
2013-11-26,1.0547
2013-11-27,1.0595
2013-11-28,1.0593
2013-11-29,1.0599
2013-12-02,1.0634
2013-12-03,1.0662
2013-12-04,1.0696
2013-12-05,1.0638
2013-12-06,1.0663
2013-12-09,1.0641
2013-12-10,1.0623
2013-12-11,1.0607
2013-12-12,1.0641
2013-12-13,1.0595
2013-12-16,1.0577
2013-12-17,1.0610
2013-12-18,1.0645
2013-12-19,1.0676
2013-12-20,1.0680
2013-12-23,1.0603
2013-12-24,1.0619
2013-12-25,
2013-12-26,
2013-12-27,1.0697
2013-12-30,1.0640
2013-12-31,1.0636

ERRORS
date,IEXE0101
2013-01-01,-64
2013-02-18,-64
2013-03-29,-64
2013-05-20,-64
2013-07-01,-64
2013-08-05,-64
2013-09-02,-64
2013-10-14,-64
2013-11-11,-64
2013-12-25,-64
2013-12-26,-64
