TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2016-01-01,-64
2016-02-15,-64
2016-03-25,-64
2016-05-23,-64
2016-07-01,-64
2016-08-01,-64
2016-09-05,-64
2016-10-10,-64
2016-11-11,-64
2016-12-26,-64
2016-12-27,-64
