TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2010-01-04,1.0378
2010-01-05,1.0372
2010-01-06,1.0334
2010-01-07,1.0351
2010-01-08,1.0344
2010-01-11,1.0317
2010-01-12,1.0375
2010-01-13,1.0322
2010-01-14,1.0261
2010-01-15,1.0287
2010-01-18,1.0251
2010-01-19,1.0328
2010-01-20,1.0478
2010-01-21,1.0487
2010-01-22,1.0564
2010-01-25,1.0582
2010-01-26,1.0606
2010-01-27,1.0657
2010-01-28,1.0643
2010-01-29,1.0650
2010-02-01,1.0653
2010-02-02,1.0607
2010-02-03,1.0609
2010-02-04,1.0734
2010-02-05,1.0725
2010-02-08,1.0692
2010-02-09,1.0690
2010-02-10,1.0671
2010-02-11,1.0523
2010-02-12,1.0531
2010-02-15,1.0480
2010-02-16,1.0426
2010-02-17,1.0455
2010-02-18,1.0452
2010-02-19,1.0420
2010-02-22,1.0428
2010-02-23,1.0517
2010-02-24,1.0550
2010-02-25,1.0675
2010-02-26,1.0526
2010-03-01,1.0421
2010-03-02,1.0326
2010-03-03,1.0287
2010-03-04,1.0309
2010-03-05,1.0286
2010-03-08,1.0286
2010-03-09,1.0251
2010-03-10,1.0243
2010-03-11,1.0265
2010-03-12,1.0187
2010-03-15,1.0217
2010-03-16,1.0148
2010-03-17,1.0113
2010-03-18,1.0139
2010-03-19,1.0155
2010-03-22,1.0193
2010-03-23,1.0178
2010-03-24,1.0267
2010-03-25,1.0188
2010-03-26,1.0285
2010-03-29,1.0203
2010-03-30,1.0188
2010-03-31,1.0156
2010-04-01,1.0075
2010-04-05,1.0025
2010-04-06,1.0001
2010-04-07,1.0030
2010-04-08,1.0020
2010-04-09,1.0055
2010-04-12,1.0015
2010-04-13,1.0028
2010-04-14,0.9961
2010-04-15,1.0014
2010-04-16,1.0148
2010-04-19,1.0201
2010-04-20,0.9986
2010-04-21,0.9984
2010-04-22,1.0013
2010-04-23,1.0027
2010-04-26,1.0009
2010-04-27,1.0173
2010-04-28,1.0128
2010-04-29,1.0054
2010-04-30,1.0116
2010-05-03,1.0134
2010-05-04,1.0216
2010-05-05,1.0266
2010-05-06,1.0437
2010-05-07,1.0431
2010-05-10,1.0246
2010-05-11,1.0195
2010-05-12,1.0201
2010-05-13,1.0149
2010-05-14,1.0344
2010-05-17,1.0405
2010-05-18,1.0330
2010-05-19,1.0515
2010-05-20,1.0659
2010-05-21,1.0570
2010-05-25,1.0778
2010-05-26,1.0651
2010-05-27,1.0496
2010-05-28,1.0499
2010-05-31,1.0462
2010-06-01,1.0479
2010-06-02,1.0404
2010-06-03,1.0416
2010-06-04,1.0516
2010-06-07,1.0540
2010-06-08,1.0518
2010-06-09,1.0395
2010-06-10,1.0337
2010-06-11,1.0333
2010-06-14,1.0253
2010-06-15,1.0288
2010-06-16,1.0236
2010-06-17,1.0284
2010-06-18,1.0238
2010-06-21,1.0199
2010-06-22,1.0201
2010-06-23,1.0434
2010-06-24,1.0432
2010-06-25,1.0370
2010-06-28,1.0337
2010-06-29,1.0529
2010-06-30,1.0606
2010-07-02,1.0649
2010-07-05,1.0660
2010-07-06,1.0498
2010-07-07,1.0527
2010-07-08,1.0446
2010-07-09,1.0328
2010-07-12,1.0379
2010-07-13,1.0284
2010-07-14,1.0306
2010-07-15,1.0403
