TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2014-01-01,
2014-01-02,1.0633
2014-01-03,1.0614
2014-01-06,1.0659
2014-01-07,1.0742
2014-01-08,1.0804
2014-01-09,1.0851
2014-01-10,1.0917
2014-01-13,1.0869
2014-01-14,1.0934
2014-01-15,1.0933
2014-01-16,1.0926
2014-01-17,1.0961
2014-01-20,1.0962
2014-01-21,1.0972
2014-01-22,1.1069
2014-01-23,1.1130
2014-01-24,1.1062
2014-01-27,1.1098
2014-01-28,1.1148
2014-01-29,1.1148
2014-01-30,1.1171
2014-01-31,1.1119
2014-02-03,1.1076
2014-02-04,1.1055
2014-02-05,1.1101
2014-02-06,1.1066
2014-02-07,1.1018
2014-02-10,1.1048
2014-02-11,1.1025
2014-02-12,1.0993
2014-02-13,1.0980
2014-02-14,1.0981
2014-02-17,
2014-02-18,1.0953
2014-02-19,1.1045
2014-02-20,1.1104
2014-02-21,1.1128
2014-02-24,1.1058
2014-02-25,1.1084
2014-02-26,1.1117
2014-02-27,1.1140
2014-02-28,1.1075
2014-03-03,1.1092
2014-03-04,1.1114
2014-03-05,1.1051
2014-03-06,1.0966
2014-03-07,1.1089
2014-03-10,1.1105
2014-03-11,1.1085
2014-03-12,1.1132
2014-03-13,1.1057
2014-03-14,1.1087
2014-03-17,1.1052
2014-03-18,1.1086
2014-03-19,1.1179
2014-03-20,1.1251
2014-03-21,1.1194
2014-03-24,1.1217
2014-03-25,1.1176
2014-03-26,1.1143
2014-03-27,1.1057
2014-03-28,1.1064
2014-03-31,1.1053
2014-04-01,1.1027
2014-04-02,1.1031
2014-04-03,1.1035
2014-04-04,1.0978
2014-04-07,1.0971
2014-04-08,1.0922
2014-04-09,1.0903
2014-04-10,1.0912
2014-04-11,1.0960
2014-04-14,1.0970
2014-04-15,1.0981
2014-04-16,1.1028
2014-04-17,1.0998
2014-04-18,
2014-04-21,1.1021
2014-04-22,1.1026
2014-04-23,1.1032
2014-04-24,1.1027
2014-04-25,1.1042
2014-04-28,1.1033
2014-04-29,1.0963
2014-04-30,1.0957
2014-05-01,1.0965
2014-05-02,1.0973
2014-05-05,1.0955
2014-05-06,1.0890
2014-05-07,1.0896
2014-05-08,1.0858
2014-05-09,1.0900
2014-05-12,1.0887
2014-05-13,1.0892
2014-05-14,1.0887
2014-05-15,1.0887
2014-05-16,1.0882
2014-05-19,
2014-05-20,1.0901
2014-05-21,1.0933
2014-05-22,1.0898
2014-05-23,1.0870
2014-05-26,1.0854
2014-05-27,1.0869
2014-05-28,1.0867
2014-05-29,1.0837
2014-05-30,1.0867
2014-06-02,1.0895
2014-06-03,1.0915
2014-06-04,1.0937
2014-06-05,1.0934
2014-06-06,1.0936
2014-06-09,1.0910
2014-06-10,1.0915
2014-06-11,1.0867
2014-06-12,1.0851
2014-06-13,1.0868
2014-06-16,1.0850
2014-06-17,1.0852
2014-06-18,1.0870
2014-06-19,1.0828
2014-06-20,1.0766
2014-06-23,1.0731
2014-06-24,1.0740
2014-06-25,1.0721
2014-06-26,1.0707
2014-06-27,1.0676
2014-06-30,1.0676
2014-07-01,
2014-07-02,1.0667
2014-07-03,1.0634
2014-07-04,1.0639
2014-07-07,1.0662
2014-07-08,1.0674
2014-07-09,1.0650
2014-07-10,1.0658
2014-07-11,1.0720
2014-07-14,1.0722
2014-07-15,1.0766
2014-07-16,1.0750
2014-07-17,1.0753
2014-07-18,1.0737
2014-07-21,1.0737
2014-07-22,1.0745
2014-07-23,1.0741
2014-07-24,1.0742
2014-07-25,1.0814
2014-07-28,1.0801
2014-07-29,1.0851
2014-07-30,1.0909
2014-07-31,1.0890
2014-08-01,1.0919
2014-08-04,
2014-08-05,1.0970
2014-08-06,1.0926
2014-08-07,1.0922
2014-08-08,1.0982
2014-08-11,1.0935
2014-08-12,1.0944
2014-08-13,1.0929
2014-08-14,1.0911
2014-08-15,1.0910
2014-08-18,1.0889
2014-08-19,1.0929
2014-08-20,1.0944
2014-08-21,1.0948
2014-08-22,1.0950
2014-08-25,1.0980
2014-08-26,1.0951
2014-08-27,1.0891
2014-08-28,1.0857
2014-08-29,1.0858
2014-09-01,
2014-09-02,1.0925
2014-09-03,1.0873
2014-09-04,1.0863
2014-09-05,1.0890
2014-09-08,1.0933
2014-09-09,1.1012
2014-09-10,1.0955
2014-09-11,1.1032
2014-09-12,1.1076
2014-09-15,1.1051
2014-09-16,1.0990
2014-09-17,1.0952
2014-09-18,1.0946
