TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2008-01-02,0.9927
2008-01-03,0.9905
2008-01-04,0.9991
2008-01-07,1.0051
2008-01-08,0.9986
2008-01-09,1.0085
2008-01-10,1.0139
2008-01-11,1.0199
2008-01-14,1.0211
2008-01-15,1.0169
2008-01-16,1.0239
2008-01-17,1.0293
2008-01-18,1.0295
2008-01-21,1.0324
2008-01-22,1.0253
2008-01-23,1.0286
2008-01-24,1.0072
2008-01-25,1.0044
2008-01-28,1.0044
2008-01-29,0.9977
2008-01-30,0.9937
2008-01-31,1.0022
2008-02-01,0.9943
2008-02-04,0.9931
2008-02-05,1.0043
2008-02-06,1.0026
2008-02-07,1.0115
2008-02-08,0.9991
2008-02-11,1.0017
2008-02-12,0.9963
2008-02-13,0.9995
2008-02-14,0.9970
2008-02-15,1.0016
2008-02-18,1.0071
2008-02-19,1.0160
2008-02-20,1.0190
2008-02-21,1.0087
2008-02-22,1.0156
2008-02-25,0.9980
2008-02-26,0.9859
2008-02-27,0.9778
2008-02-28,0.9719
2008-02-29,0.9798
2008-03-03,0.9870
2008-03-04,0.9956
2008-03-05,0.9898
2008-03-06,0.9848
2008-03-07,0.9915
2008-03-10,0.9976
2008-03-11,0.9953
2008-03-12,0.9897
2008-03-13,0.9842
2008-03-14,0.9870
2008-03-17,0.9978
2008-03-18,0.9938
2008-03-19,1.0028
2008-03-20,1.0269
2008-03-24,1.0203
2008-03-25,1.0177
2008-03-26,1.0180
2008-03-27,1.0147
2008-03-28,1.0181
2008-03-31,1.0279
2008-04-01,1.0270
2008-04-02,1.0177
2008-04-03,1.0082
2008-04-04,1.0091
2008-04-07,1.0110
2008-04-08,1.0150
2008-04-09,1.0194
2008-04-10,1.0179
2008-04-11,1.0215
2008-04-14,1.0208
2008-04-15,1.0181
2008-04-16,1.0025
2008-04-17,1.0113
2008-04-18,1.0084
2008-04-21,1.0066
2008-04-22,1.0033
2008-04-23,1.0195
2008-04-24,1.0132
2008-04-25,1.0164
2008-04-28,1.0160
2008-04-29,1.0131
2008-04-30,1.0095
2008-05-01,1.0189
2008-05-02,1.0183
2008-05-05,1.0125
2008-05-06,1.0035
2008-05-07,1.0021
2008-05-08,1.0149
2008-05-09,1.0061
2008-05-12,1.0039
2008-05-13,1.0005
2008-05-14,1.0020
2008-05-15,0.9998
2008-05-16,0.9968
2008-05-20,0.9930
2008-05-21,0.9844
2008-05-22,0.9861
2008-05-23,0.9883
2008-05-26,0.9896
2008-05-27,0.9932
2008-05-28,0.9915
2008-05-29,0.9872
2008-05-30,0.9942
2008-06-02,1.0013
2008-06-03,1.0051
2008-06-04,1.0145
2008-06-05,1.0198
2008-06-06,1.0187
2008-06-09,1.0225
2008-06-10,1.0243
2008-06-11,1.0174
2008-06-12,1.0232
2008-06-13,1.0282
2008-06-16,1.0211
2008-06-17,1.0199
2008-06-18,1.0186
2008-06-19,1.0132
2008-06-20,1.0172
2008-06-23,1.0163
2008-06-24,1.0136
2008-06-25,1.0135
2008-06-26,1.0121
2008-06-27,1.0123
2008-06-30,1.0186
2008-07-02,1.0129
2008-07-03,1.0206
2008-07-04,1.0155
2008-07-07,1.0173
2008-07-08,1.0207
2008-07-09,1.0108
2008-07-10,1.0102
2008-07-11,1.0092
2008-07-14,1.0061
2008-07-15,1.0020
2008-07-16,1.0017
2008-07-17,1.0016
2008-07-18,1.0053
2008-07-21,1.0021
2008-07-22,1.0085
2008-07-23,1.0088
2008-07-24,1.0114
2008-07-25,1.0164
2008-07-28,1.0222
2008-07-29,1.0261
2008-07-30,1.0242
2008-07-31,1.0257
2008-08-01,1.0253
2008-08-05,1.0426
2008-08-06,1.0470
2008-08-07,1.0511
2008-08-08,1.0678
2008-08-11,1.0676
2008-08-12,1.0640
2008-08-13,1.0657
2008-08-14,1.0620
2008-08-15,1.0609
2008-08-18,1.0605
2008-08-19,1.0607
2008-08-20,1.0628
2008-08-21,1.0456
2008-08-22,1.0458
2008-08-25,1.0464
2008-08-26,1.0483
2008-08-27,1.0486
2008-08-28,1.0526
2008-08-29,1.0626
2008-09-02,1.0701
2008-09-03,1.0607
2008-09-04,1.0642
2008-09-05,1.0641
2008-09-08,1.0696
2008-09-09,1.0679
2008-09-10,1.0738
2008-09-11,1.0796
2008-09-12,1.0609
2008-09-15,1.0677
2008-09-16,1.0734
2008-09-17,1.0783
2008-09-18,1.0701
2008-09-19,1.0470
2008-09-22,1.0382
2008-09-23,1.0355
2008-09-24,1.0351
2008-09-25,1.0338
2008-09-26,1.0349
2008-09-29,1.0394
2008-09-30,1.0599
2008-10-01,1.0609
2008-10-02,1.0769
2008-10-03,1.0812
2008-10-06,1.1027
2008-10-07,1.1058
2008-10-08,1.1249
2008-10-09,1.1486
2008-10-10,1.1907
2008-10-14,1.1602
2008-10-15,1.1802
2008-10-16,1.1952
2008-10-17,1.1823
2008-10-20,1.1976
2008-10-21,1.2202
2008-10-22,1.2499
2008-10-23,1.2573
2008-10-24,1.2732
2008-10-27,1.2930
2008-10-28,1.2943
2008-10-29,1.2308
2008-10-30,1.2221
2008-10-31,1.2165
2008-11-03,1.1875
2008-11-04,1.1499
2008-11-05,1.1596
2008-11-06,1.1818
2008-11-07,1.1835
2008-11-10,1.1942
2008-11-12,1.2295
2008-11-13,1.2315
2008-11-14,1.2247
2008-11-17,1.2211
2008-11-18,1.2239
2008-11-19,1.2370
2008-11-20,1.2855
2008-11-21,1.2854
2008-11-24,1.2250
2008-11-25,1.2209
2008-11-26,1.2342
2008-11-27,1.2329
2008-11-28,1.2372
2008-12-01,1.2377
2008-12-02,1.2421
2008-12-03,1.2573
2008-12-04,1.2540
2008-12-05,1.2969
2008-12-08,1.2572
2008-12-09,1.2603
2008-12-10,1.2557
2008-12-11,1.2183
2008-12-12,1.2452
2008-12-15,1.2352
2008-12-16,1.2239
2008-12-17,1.2058
2008-12-18,1.1965
2008-12-19,1.2275
2008-12-22,1.2188
2008-12-23,1.2166
2008-12-24,1.2125
2008-12-29,1.2167
2008-12-30,1.2217
2008-12-31,1.2246

