TERMS AND CONDITIONS
http://www.bankofcanada.ca/terms/

SERIES
id,label,description
IEXE0101,"USD_NOON","U.S. dollar (noon)"

OBSERVATIONS
date,IEXE0101
2009-01-02,1.2107
2009-01-05,1.1914
2009-01-06,1.1823
2009-01-07,1.1853
2009-01-08,1.1888
2009-01-09,1.1923
2009-01-12,1.2077
2009-01-13,1.2257
2009-01-14,1.2383
2009-01-15,1.2625
2009-01-16,1.2542
2009-01-19,1.2521
2009-01-20,1.2605
2009-01-21,1.2741
2009-01-22,1.2630
2009-01-23,1.2480
2009-01-26,1.2205
2009-01-27,1.2299
2009-01-28,1.2098
2009-01-29,1.2188
2009-01-30,1.2364
2009-02-02,1.2404
2009-02-03,1.2337
2009-02-04,1.2266
2009-02-05,1.2303
2009-02-06,1.2389
2009-02-09,1.2192
2009-02-10,1.2332
2009-02-11,1.2424
2009-02-12,1.2477
2009-02-13,1.2433
2009-02-16,1.2437
2009-02-17,1.2601
2009-02-18,1.2596
2009-02-19,1.2595
2009-02-20,1.2541
2009-02-23,1.2512
2009-02-24,1.2470
2009-02-25,1.2556
2009-02-26,1.2456
2009-02-27,1.2707
2009-03-02,1.2890
2009-03-03,1.2938
2009-03-04,1.2765
2009-03-05,1.2877
2009-03-06,1.2863
2009-03-09,1.3000
2009-03-10,1.2797
2009-03-11,1.2807
2009-03-12,1.2905
2009-03-13,1.2749
2009-03-16,1.2724
2009-03-17,1.2718
2009-03-18,1.2720
2009-03-19,1.2325
2009-03-20,1.2371
2009-03-23,1.2323
2009-03-24,1.2262
2009-03-25,1.2245
2009-03-26,1.2330
2009-03-27,1.2392
2009-03-30,1.2590
2009-03-31,1.2602
2009-04-01,1.2643
2009-04-02,1.2384
2009-04-03,1.2337
2009-04-06,1.2429
2009-04-07,1.2341
2009-04-08,1.2354
2009-04-09,1.2274
2009-04-13,1.2212
2009-04-14,1.2092
2009-04-15,1.2038
2009-04-16,1.2062
2009-04-17,1.2146
2009-04-20,1.2343
2009-04-21,1.2358
2009-04-22,1.2360
2009-04-23,1.2290
2009-04-24,1.2093
2009-04-27,1.2107
2009-04-28,1.2238
2009-04-29,1.2008
2009-04-30,1.1940
2009-05-01,1.1872
2009-05-04,1.1781
2009-05-05,1.1760
2009-05-06,1.1731
2009-05-07,1.1714
2009-05-08,1.1581
2009-05-11,1.1591
2009-05-12,1.1676
2009-05-13,1.1683
2009-05-14,1.1727
2009-05-15,1.1756
2009-05-19,1.1569
2009-05-20,1.1434
2009-05-21,1.1414
2009-05-22,1.1233
2009-05-25,1.1258
2009-05-26,1.1199
2009-05-27,1.1120
2009-05-28,1.1124
2009-05-29,1.0961
2009-06-01,1.0872
2009-06-02,1.0827
2009-06-03,1.0976
2009-06-04,1.0999
2009-06-05,1.1146
2009-06-08,1.1230
2009-06-09,1.1041
2009-06-10,1.1101
2009-06-11,1.0982
2009-06-12,1.1177
2009-06-15,1.1341
2009-06-16,1.1327
2009-06-17,1.1371
2009-06-18,1.1273
2009-06-19,1.1287
2009-06-22,1.1547
2009-06-23,1.1560
2009-06-24,1.1461
2009-06-25,1.1580
2009-06-26,1.1531
2009-06-29,1.1583
2009-06-30,1.1625
2009-07-02,1.1604
2009-07-03,1.1621
2009-07-06,1.1612
2009-07-07,1.1631
2009-07-08,1.1655
2009-07-09,1.1622
2009-07-10,1.1650
2009-07-13,1.1539
2009-07-14,1.1368
2009-07-15,1.1194
2009-07-16,1.1171
2009-07-17,1.1168
2009-07-20,1.1067
2009-07-21,1.1078
2009-07-22,1.0981
2009-07-23,1.0867
2009-07-24,1.0842
2009-07-27,1.0835
2009-07-28,1.0880
2009-07-29,1.0889
2009-07-30,1.0815
2009-07-31,1.0790
2009-08-04,1.0686
2009-08-05,1.0720
2009-08-06,1.0759
2009-08-07,1.0837
2009-08-10,1.0848
2009-08-11,1.0988
2009-08-12,1.0875
2009-08-13,1.0852
2009-08-14,1.0971
2009-08-17,1.1079
2009-08-18,1.1036
2009-08-19,1.0969
2009-08-20,1.0902
2009-08-21,1.0799
2009-08-24,1.0742
2009-08-25,1.0782
2009-08-26,1.0991
2009-08-27,1.0960
2009-08-28,1.0879
2009-08-31,1.0967
2009-09-01,1.1031
2009-09-02,1.1065
2009-09-03,1.1034
2009-09-04,1.0889
2009-09-08,1.0764
2009-09-09,1.0787
2009-09-10,1.0812
2009-09-11,1.0746
2009-09-14,1.0857
2009-09-15,1.0763
2009-09-16,1.0663
2009-09-17,1.0613
2009-09-18,1.0724
2009-09-21,1.0777
2009-09-22,1.0683
2009-09-23,1.0724
2009-09-24,1.0869
2009-09-25,1.0915
2009-09-28,1.0861
2009-09-29,1.0871
2009-09-30,1.0722
2009-10-01,1.0774
2009-10-02,1.0845
2009-10-05,1.0757
2009-10-06,1.0571
2009-10-07,1.0619
2009-10-08,1.0535
2009-10-09,1.0424
2009-10-13,1.0298
2009-10-14,1.0292
2009-10-15,1.0303
2009-10-16,1.0389
2009-10-19,1.0308
2009-10-20,1.0500
2009-10-21,1.0412
2009-10-22,1.0485
2009-10-23,1.0508
2009-10-26,1.0616
2009-10-27,1.0648
2009-10-28,1.0756
2009-10-29,1.0705
2009-10-30,1.0774
2009-11-02,1.0743
2009-11-03,1.0704
2009-11-04,1.0647
2009-11-05,1.0651
2009-11-06,1.0720
2009-11-09,1.0566
2009-11-10,1.0518
2009-11-12,1.0519
2009-11-13,1.0508
2009-11-16,1.0460
2009-11-17,1.0592
2009-11-18,1.0500
2009-11-19,1.0638
2009-11-20,1.0696
2009-11-23,1.0551
2009-11-24,1.0608
2009-11-25,1.0501
2009-11-26,1.0595
2009-11-27,1.0624
2009-11-30,1.0574
2009-12-01,1.0432
2009-12-02,1.0468
2009-12-03,1.0542
2009-12-04,1.0517
2009-12-07,1.0511
2009-12-08,1.0604
2009-12-09,1.0552
2009-12-10,1.0519
2009-12-11,1.0585
2009-12-14,1.0593
2009-12-15,1.0620
2009-12-16,1.0580
2009-12-17,1.0713
2009-12-18,1.0678
2009-12-21,1.0594
2009-12-22,1.0556
2009-12-23,1.0476
2009-12-24,1.0488
2009-12-29,1.0405
2009-12-30,1.0525
2009-12-31,1.0466

